Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,XREF
3,"C3, C4, C5",0.1uF,C0603,C0603C104M4RACTU,Kemet,ME,80-C0603C104M4R,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16volts 0.1uF X7R 20%,*,REF149
3,"R2, R3, R7",1K,R0603R,RK73H1JTTD1001F,KOA Speer,ME,660-RK73H1JTTD1001F,Thick Film Resistors - SMD 1/10watts 1Kohms 1%,*,REF198
2,"C1, C2",1uF,C0603,C0603C105K8RACTU,Kemet,ME,80-C0603C105K8R,Multilayer Ceramic Capacitors MLCC - SMD/SMT 10volts 1uF 10% X7R,*,REF188
1,"R1",10K,R0603R,RK73H1JTTD1002F,KOA Speer,ME,660-RK73H1JTTD1002F,Thick Film Resistors - SMD 1/10watts 10Kohms 1%,*,REF199
3,"R4, R5, R6",100,R0603R,RK73H1JTTD1000F,KOA Speer,ME,660-RK73H1JTTD1000F,Thick Film Resistors - SMD 1/10watts 100ohms 1%,*,REF200
1,"U2",ADP160,SOT23-5,ADP160AUJZ-3.3-R7,Analog Devices,ME,584-ADP160AUJZ-3.3R7,Linear Regulators - Standard Ultra Low Quiescent Crnt 150mA CMOS,*,REF190
1,"U3",ADXL362,ADXL362_EXT,ADXL362BCCZ-RL,Analog Devices,ME,584-ADXL362BCCZ-R,Board Mount Acceleration Sensors Micropower 3-Axis Digital Output MEMS,*,REF194
1,"SG1",BUZZERPTH,BUZZER-12MM,254-EMB140-R0,Kobitone,ME,254-EMB140-R0,Audio Indicators & Alerts 12 x 8.5mm 2048Hz,*,REF201
1,"BAT1",CR2032-20MM,BATTCON_20MM_SMD_EJECT,BA2032SM,MPD,DK,BA2032SM-ND,HOLDER COIN CELL 2032 EJECT SMD,*,REF203
1,"JP2",EXPANSION,1X04-1MM-RA,SM04B-SRSS-TB(LF)(SN)(P),JST,DK,455-1804-1-ND,CONN HEADER SH 4POS SIDE 1MM TIN,*,REF202
1,"JP3",EXT_PWR,JP1,826936-2,TE Connectivity / AMP,ME,571-826936-2,Headers & Wire Housings 2P SINGLE ROW,*,REF58
3,"LED1, LED2, LED3",GREEN,CHIPLED_0603,LTST-C191KGKT,Lite-On,ME,859-LTST-C191KGKT,Standard LED - SMD Green Clear 571nm,*,REF35
1,"JP1",ICSP,1X06_SMD_MALE,5-146128-4,TE Connectivity/AMP,ME,571-5-146128-4,Headers & Wire Housings 06P HDR SR SMT B/A,*,REF195
1,"D1",MBR0530,SOD-123,MBR0530,Fairchild Semiconductor,ME,512-MBR0530,Schottky Diodes & Rectifiers Schottky diode 0V/0.5A SOD-123,*,REF193
3,"Q1, Q2, Q3",MMBT3904,SOT23,MMBT3904,Fairchild Semiconductor,ME,512-MMBT3904,Transistors Bipolar - BJT SOT-23 NPN GEN PUR,*,REF131
1,"U1",PIC16F1823ST,TSSOP14,PIC16F1823-I/ST,Microchip,ME,579-PIC16F1823-I/ST,8-bit Microcontrollers - MCU 3.5KB 128B RAM 32MHz Int. Osc 12 I/0,*,REF189
