quantity 1,Mfg Part Number,Mfg Name,Mouser Part Number,Ref-ID,
3,C0603C104M4RACTU,Kemet,80-C0603C104M4R,REF149,
3,RK73H1JTTD1001F,KOA Speer,660-RK73H1JTTD1001F,REF198,
2,C0603C105K8RACTU,Kemet,80-C0603C105K8R,REF188,
1,RK73H1JTTD1002F,KOA Speer,660-RK73H1JTTD1002F,REF199,
3,RK73H1JTTD1000F,KOA Speer,660-RK73H1JTTD1000F,REF200,
1,ADP160AUJZ-3.3-R7,Analog Devices,584-ADP160AUJZ-3.3R7,REF190,
1,ADXL362BCCZ-RL,Analog Devices,584-ADXL362BCCZ-R,REF194,
1,254-EMB140-R0,Kobitone,254-EMB140-R0,REF201,
1,S8211-46R,Harwin,855-S8211-46R,REF192,
1,826936-2,TE Connectivity / AMP,571-826936-2,REF58,
3,LTST-C191KGKT,Lite-On,859-LTST-C191KGKT,REF35,
1,5-146128-4,TE Connectivity/AMP,571-5-146128-4,REF195,
1,MBR0530,Fairchild Semiconductor,512-MBR0530,REF193,
3,MMBT3904,Fairchild Semiconductor,512-MMBT3904,REF131,
1,PIC16F1823-I/ST,Microchip,579-PIC16F1823-I/ST,REF189,
